#uplink	channel	x [mm]	y [mm]
0	0	0	900
0	1	30	900
0	2	60	900
0	3	90	900
0	4	120	900
0	5	150	900
0	6	180	900
0	7	210	900
0	8	240	900
0	9	270	900
0	10	300	900
0	11	330	900
0	12	360	900
0	13	390	900
0	14	420	900
0	15	450	900
0	16	480	900
0	17	510	900
0	18	540	900
0	19	570	900
0	20	600	900
0	21	630	900
0	22	660	900
0	23	690	900
0	24	720	900
0	25	750	900
0	26	780	900
0	27	810	900
0	28	840	900
0	29	870	900
0	30	900	900
0	31	930	900
0	32	0	800
0	33	30	800
0	34	60	800
0	35	90	800
0	36	120	800
0	37	150	800
0	38	180	800
0	39	210	800
0	40	240	800
0	41	270	800
0	42	300	800
0	43	330	800
0	44	360	800
0	45	390	800
0	46	420	800
0	47	450	800
0	48	480	800
0	49	510	800
0	50	540	800
0	51	570	800
0	52	600	800
0	53	630	800
0	54	660	800
0	55	690	800
0	56	720	800
0	57	750	800
0	58	780	800
0	59	810	800
0	60	840	800
0	61	870	800
0	62	900	800
0	63	930	800
1	0	0	700
1	1	30	700
1	2	60	700
1	3	90	700
1	4	120	700
1	5	150	700
1	6	180	700
1	7	210	700
1	8	240	700
1	9	270	700
1	10	300	700
1	11	330	700
1	12	360	700
1	13	390	700
1	14	420	700
1	15	450	700
1	16	480	700
1	17	510	700
1	18	540	700
1	19	570	700
1	20	600	700
1	21	630	700
1	22	660	700
1	23	690	700
1	24	720	700
1	25	750	700
1	26	780	700
1	27	810	700
1	28	840	700
1	29	870	700
1	30	900	700
1	31	930	700
1	32	0	600
1	33	30	600
1	34	60	600
1	35	90	600
1	36	120	600
1	37	150	600
1	38	180	600
1	39	210	600
1	40	240	600
1	41	270	600
1	42	300	600
1	43	330	600
1	44	360	600
1	45	390	600
1	46	420	600
1	47	450	600
1	48	480	600
1	49	510	600
1	50	540	600
1	51	570	600
1	52	600	600
1	53	630	600
1	54	660	600
1	55	690	600
1	56	720	600
1	57	750	600
1	58	780	600
1	59	810	600
1	60	840	600
1	61	870	600
1	62	900	600
1	63	930	600
2	0	0	500
2	1	30	500
2	2	60	500
2	3	90	500
2	4	120	500
2	5	150	500
2	6	180	500
2	7	210	500
2	8	240	500
2	9	270	500
2	10	300	500
2	11	330	500
2	12	360	500
2	13	390	500
2	14	420	500
2	15	450	500
2	16	480	500
2	17	510	500
2	18	540	500
2	19	570	500
2	20	600	500
2	21	630	500
2	22	660	500
2	23	690	500
2	24	720	500
2	25	750	500
2	26	780	500
2	27	810	500
2	28	840	500
2	29	870	500
2	30	900	500
2	31	930	500
2	32	0	400
2	33	30	400
2	34	60	400
2	35	90	400
2	36	120	400
2	37	150	400
2	38	180	400
2	39	210	400
2	40	240	400
2	41	270	400
2	42	300	400
2	43	330	400
2	44	360	400
2	45	390	400
2	46	420	400
2	47	450	400
2	48	480	400
2	49	510	400
2	50	540	400
2	51	570	400
2	52	600	400
2	53	630	400
2	54	660	400
2	55	690	400
2	56	720	400
2	57	750	400
2	58	780	400
2	59	810	400
2	60	840	400
2	61	870	400
2	62	900	400
2	63	930	400
3	0	0	300
3	1	30	300
3	2	60	300
3	3	90	300
3	4	120	300
3	5	150	300
3	6	180	300
3	7	210	300
3	8	240	300
3	9	270	300
3	10	300	300
3	11	330	300
3	12	360	300
3	13	390	300
3	14	420	300
3	15	450	300
3	16	480	300
3	17	510	300
3	18	540	300
3	19	570	300
3	20	600	300
3	21	630	300
3	22	660	300
3	23	690	300
3	24	720	300
3	25	750	300
3	26	780	300
3	27	810	300
3	28	840	300
3	29	870	300
3	30	900	300
3	31	930	300
3	32	0	200
3	33	30	200
3	34	60	200
3	35	90	200
3	36	120	200
3	37	150	200
3	38	180	200
3	39	210	200
3	40	240	200
3	41	270	200
3	42	300	200
3	43	330	200
3	44	360	200
3	45	390	200
3	46	420	200
3	47	450	200
3	48	480	200
3	49	510	200
3	50	540	200
3	51	570	200
3	52	600	200
3	53	630	200
3	54	660	200
3	55	690	200
3	56	720	200
3	57	750	200
3	58	780	200
3	59	810	200
3	60	840	200
3	61	870	200
3	62	900	200
3	63	930	200
4	0	0	100
4	1	30	100
4	2	60	100
4	3	90	100
4	4	120	100
4	5	150	100
4	6	180	100
4	7	210	100
4	8	240	100
4	9	270	100
4	10	300	100
4	11	330	100
4	12	360	100
4	13	390	100
4	14	420	100
4	15	450	100
4	16	480	100
4	17	510	100
4	18	540	100
4	19	570	100
4	20	600	100
4	21	630	100
4	22	660	100
4	23	690	100
4	24	720	100
4	25	750	100
4	26	780	100
4	27	810	100
4	28	840	100
4	29	870	100
4	30	900	100
4	31	930	100
4	32	0	0
4	33	30	0
4	34	60	0
4	35	90	0
4	36	120	0
4	37	150	0
4	38	180	0
4	39	210	0
4	40	240	0
4	41	270	0
4	42	300	0
4	43	330	0
4	44	360	0
4	45	390	0
4	46	420	0
4	47	450	0
4	48	480	0
4	49	510	0
4	50	540	0
4	51	570	0
4	52	600	0
4	53	630	0
4	54	660	0
4	55	690	0
4	56	720	0
4	57	750	0
4	58	780	0
4	59	810	0
4	60	840	0
4	61	870	0
4	62	900	0
4	63	930	0
